index,项目,结果,学年,学期,学位,国家,分数制,GPA
389,DS@Harvard,Reject,2023,Fall,Master,美国,4.0,3.92
390,DS@Harvard,Reject,2023,Fall,Master,美国,4.0,3.97
391,DS@Harvard,Reject,2023,Fall,Master,美国,4.3,3.94
392,DS@NYU,Reject,2024,Fall,Master,美国,4.0,3.87
393,DS@NYU,Admit,2024,Fall,Master,美国,4.0,3.75
394,DS@NYU,Admit,2023,Fall,Master,美国,4.0,3.96
395,DS@NYU,Reject,2023,Fall,Master,美国,100,87.0
396,DS@UMich,Admit,2024,Fall,Master,美国,4.0,3.82
397,DS@UMich,Reject,2024,Fall,Master,美国,4.0,3.87
398,DS@UMich,Admit,2023,Fall,Master,美国,4.0,3.87
399,DS@UMich,Admit,2023,Fall,Master,美国,100,87.0
400,DS@UPenn,Reject,2024,Fall,Master,美国,100,94.25
401,DS@UPenn,Reject,2023,Fall,Master,美国,4.3,3.94
402,DS75@UCSD,Reject,2024,Fall,Master,美国,4.0,3.82
403,DS75@UCSD,Reject,2024,Fall,Master,美国,5.0,4.33
404,DS75@UCSD,Reject,2024,Fall,Master,美国,4.0,3.21
405,DS75@UCSD,Admit,2024,Fall,Master,美国,100,87.0
406,DS75@UCSD,Admit,2024,Fall,Master,美国,4.0,3.87
407,DS75@UCSD,Admit,2023,Fall,Master,美国,4.0,3.87
408,DS75@UCSD,Admit,2023,Fall,Master,美国,100,87.0
409,DSML@NUS,Admit,2023,Fall,Master,新加坡,4.0,3.92
410,DSML@NUS,Reject,2023,Fall,Master,新加坡,4.0,3.94
411,DSML@NUS,Admit,2023,Fall,Master,新加坡,4.0,3.92
412,DSML@NUS,Admit,2023,Fall,Master,新加坡,100,87.0
413,EC79@UCSD,Admit,2024,Fall,Master,美国,4.0,3.96
414,EC79@UCSD,Admit,2024,Fall,Master,美国,100,93.5
415,EC79@UCSD,Admit,2024,Fall,Master,美国,5.0,4.82
416,EC79@UCSD,Admit,2024,Fall,Master,美国,4.0,3.77
417,EC79@UCSD,Admit,2024,Fall,Master,美国,100,86.5
418,EC79@UCSD,Reject,2023,Fall,Master,美国,100,92.3
419,EC79@UCSD,Admit,2023,Fall,Master,美国,4.0,3.95
420,EC79@UCSD,Admit,2023,Fall,Master,美国,100,86.5
421,EC79@UCSD,Admit,2023,Fall,Master,美国,4.3,3.55
422,EC79@UCSD,Reject,2023,Fall,Master,美国,100,89.7
423,EC79@UCSD,Reject,2023,Fall,Master,美国,4.0,3.7
424,EC79@UCSD,Reject,2023,Fall,Master,美国,4.0,3.3
425,EC79@UCSD,Reject,2023,Fall,Master,美国,4.0,3.74
426,EC79@UCSD,Reject,2023,Fall,Master,美国,100,90.9
427,EC79@UCSD,Admit,2023,Fall,Master,美国,4.3,3.75
428,EC79@UCSD,Admit,2022,Fall,Master,美国,100,88.42
430,EC93@UCSD,Admit,2024,Fall,Master,美国,4.0,3.69
431,EC93@UCSD,Admit,2024,Fall,Master,美国,4.0,3.75
432,EC93@UCSD,Admit,2023,Fall,Master,美国,100,87.0
433,ECE MASc@UofT,Reject,2023,Fall,Master,加拿大,4.0,3.73
434,ECE Meng (Co-op)@Waterloo,Reject,2024,Fall,Master,加拿大,5.0,4.7
435,ECE Meng (Co-op)@Waterloo,Reject,2024,Fall,Master,加拿大,100,93.05
436,ECE Meng (Co-op)@Waterloo,Reject,2024,Fall,Master,加拿大,4.0,3.85
437,ECE Meng (Co-op)@Waterloo,Reject,2023,Fall,Master,加拿大,4.0,3.74
438,ECE Meng (Co-op)@Waterloo,默拒,2023,Fall,Master,加拿大,4.0,3.95
439,ECE Meng (Co-op)@Waterloo,Reject,2023,Fall,Master,加拿大,100,88.8
440,ECE Meng (Co-op)@Waterloo,Reject,2023,Fall,Master,加拿大,4.0,3.92
441,ECE Meng (Co-op)@Waterloo,Reject,2023,Fall,Master,加拿大,4.0,3.94
442,ECE Meng (Co-op)@Waterloo,Reject,2023,Fall,Master,加拿大,4.0,3.73
443,ECE Meng (Co-op)@Waterloo,Reject,2023,Fall,Master,加拿大,100,86.5
444,ECE Meng (Co-op)@Waterloo,Reject,2023,Fall,Master,加拿大,100,90.9
445,ECE Meng (Co-op)@Waterloo,Admit,2023,Fall,Master,加拿大,4.0,3.7
446,ECE Meng (Co-op)@Waterloo,Admit,2023,Fall,Master,加拿大,100,91.2
447,ECE Meng (Co-op)@Waterloo,Reject,2023,Fall,Master,加拿大,4.3,3.55
448,ECE Meng (Co-op)@Waterloo,Reject,2023,Fall,Master,加拿大,4.0,3.73
449,ECE Meng (Co-op)@Waterloo,Reject,2023,Fall,Master,加拿大,100,90.52
450,ECE Meng (Co-op)@Waterloo,Reject,2023,Fall,Master,加拿大,4.0,3.3
451,ECE MEng@Cornell,Admit,2024,Fall,Master,美国,100,89.1
452,ECE MEng@Cornell,Admit,2023,Fall,Master,美国,4.0,3.96
453,ECE MEng@Cornell,Reject,2023,Fall,Master,美国,4.0,3.85
454,ECE MEng@Cornell,Reject,2023,Fall,Master,美国,100,92.3
455,ECE MEng@Cornell,Admit,2023,Fall,Master,美国,4.0,3.98
456,ECE MEng@Cornell,Reject,2022,Fall,Master,美国,100,90.11
457,ECE Meng@UBC,Reject,2024,Fall,Master,加拿大,5.0,4.7
458,ECE Meng@UBC,Reject,2024,Fall,Master,加拿大,4.3,3.7
459,ECE Meng@UBC,Reject,2024,Fall,Master,加拿大,4.3,3.7
460,ECE Meng@UBC,Reject,2023,Fall,Master,加拿大,100,86.5
461,ECE Meng@UBC,Admit,2023,Fall,Master,加拿大,4.0,3.94
462,ECE Meng@UBC,Reject,2023,Fall,Master,加拿大,4.0,3.7
463,ECE Meng@UBC,Reject,2023,Fall,Master,加拿大,4.0,3.74
464,ECE Meng@UBC,Reject,2023,Fall,Master,加拿大,100,90.52
465,ECE Meng@UBC,Reject,2023,Fall,Master,加拿大,100,90.9
466,ECE Meng@UBC,Admit,2023,Fall,Master,加拿大,4.0,3.95
467,ECE Meng@UBC,Admit,2023,Fall,Master,加拿大,4.0,3.92
468,ECE Meng@UBC,Reject,2023,Fall,Master,加拿大,4.0,3.5
469,ECE Meng@UBC,Reject,2023,Fall,Master,加拿大,4.0,3.3
470,ECE Meng@UBC,Admit,2022,Fall,Master,加拿大,100,90.11
471,ECE Meng@UIUC,Reject,2024,Fall,Master,美国,4.0,3.83
472,ECE Meng@UIUC,Admit,2024,Fall,Master,美国,4.0,3.92
473,ECE Meng@UIUC,Reject,2024,Fall,Master,美国,100,89.1
474,ECE Meng@UIUC,Reject,2024,Fall,Master,美国,4.0,3.81
475,ECE Meng@UIUC,Reject,2024,Fall,Master,美国,100,90.7
476,ECE Meng@UIUC,Reject,2024,Fall,Master,美国,100,93.05
477,ECE Meng@UIUC,Admit,2024,Fall,Master,美国,100,90.5
478,ECE Meng@UIUC,Admit,2024,Fall,Master,美国,4.0,3.75
479,ECE Meng@UIUC,Admit,2023,Fall,Master,美国,100,87.5
480,ECE Meng@UIUC,Reject,2023,Fall,Master,美国,4.3,3.97
481,ECE Meng@UIUC,Admit,2023,Fall,Master,美国,4.0,3.95
482,ECE Meng@UIUC,Reject,2023,Fall,Master,美国,4.0,3.83
483,ECE Meng@UIUC,Admit,2023,Fall,Master,美国,4.0,3.59
484,ECE Meng@UIUC,Admit,2023,Fall,Master,美国,5.0,4.41
485,ECE Meng@UIUC,Reject,2023,Fall,Master,美国,100,89.7
486,ECE Meng@UIUC,Reject,2023,Fall,Master,美国,100,90.3
487,ECE Meng@UIUC,Reject,2023,Fall,Master,美国,4.0,3.85
488,ECE Meng@UIUC,Reject,2023,Fall,Master,美国,100,88.0
489,ECE Meng@UIUC,Reject,2023,Fall,Master,美国,4.0,3.87
490,ECE Meng@UIUC,Admit,2023,Fall,Master,美国,100,92.91
491,ECE Meng@UIUC,Reject,2023,Fall,Master,美国,4.0,3.7
492,ECE Meng@UIUC,Admit,2023,Fall,Master,美国,100,90.9
493,ECE Meng@UIUC,Admit,2023,Fall,Master,美国,4.0,3.74
494,ECE Meng@UIUC,Reject,2023,Fall,Master,美国,100,86.5
495,ECE Meng@UIUC,Reject,2023,Fall,Master,美国,4.0,3.3
496,ECE Meng@UIUC,Admit,2023,Fall,Master,美国,4.3,3.75
497,ECE Meng@UIUC,Reject,2023,Fall,Master,美国,100,87.0
498,ECE MEng@UofT,Admit,2024,Fall,Master,加拿大,100,93.05
499,ECE MEng@UofT,Admit,2023,Fall,Master,加拿大,4.0,3.73
500,ECE MEng@uOttawa,Admit,2024,Fall,Master,加拿大,5.0,4.7
501,ECE MEng@uOttawa,Admit,2023,Fall,Master,加拿大,4.0,3.73
502,ECE MEng@uOttawa,Admit,2023,Fall,Master,加拿大,100,87.6
503,ECE Meng@UVic,Admit,2024,Fall,Master,加拿大,100,87.0
504,ECE Meng@Waterloo,Admit,2024,Fall,Master,加拿大,5.0,4.7
505,ECE Meng@Waterloo,Admit,2024,Fall,Master,加拿大,4.0,3.21
506,ECE Meng@Waterloo,Admit,2024,Fall,Master,加拿大,4.0,3.85
507,ECE Meng@Waterloo,Admit,2023,Fall,Master,加拿大,4.0,3.92
508,ECE Meng@Waterloo,Reject,2023,Fall,Master,加拿大,4.0,3.7
509,ECE Meng@Waterloo,Admit,2023,Fall,Master,加拿大,4.0,3.94
510,ECE Meng@Waterloo,Admit,2023,Fall,Master,加拿大,100,88.0
511,ECE Meng@Waterloo,Admit,2023,Fall,Master,加拿大,100,88.0
512,ECE Meng@Waterloo,Admit,2023,Fall,Master,加拿大,英制100,71.0
513,ECE Meng@Waterloo,Admit,2023,Fall,Master,加拿大,4.0,3.73
514,ECE Meng@Waterloo,Admit,2023,Fall,Master,加拿大,100,86.5
515,ECE Meng@Waterloo,Admit,2023,Fall,Master,加拿大,100,86.5
516,ECE Meng@Waterloo,Admit,2023,Fall,Master,加拿大,100,90.52
517,ECE Meng@Waterloo,Admit,2023,Fall,Master,加拿大,4.3,3.55
518,ECE Meng@Waterloo,Reject,2023,Fall,Master,加拿大,4.0,3.3
519,ECE PhD@UT-Austin,Admit,2023,Fall,PhD,美国,4.0,3.76
520,ECE-MASc@UBC,Reject,2023,Fall,Master,加拿大,4.0,3.68
521,ECE-MASc@UBC,Admit,2023,Fall,Master,加拿大,4.0,3.73
522,ECE@CMU,Admit,2025,Spring,Master,美国,4.0,3.88
523,ECE@CMU,Reject,2024,Fall,Master,美国,4.0,3.96
524,ECE@CMU,Reject,2024,Fall,Master,美国,100,91.82
525,ECE@CMU,Reject,2024,Fall,Master,美国,4.0,3.81
526,ECE@CMU,Reject,2024,Fall,Master,美国,4.0,3.92
527,ECE@CMU,Reject,2024,Fall,Master,美国,4.0,3.82
528,ECE@CMU,Reject,2024,Fall,Master,美国,100,90.5
529,ECE@CMU,Reject,2024,Fall,Master,美国,100,91.11
530,ECE@CMU,Admit,2024,Fall,Master,美国,100,89.1
531,ECE@CMU,Admit,2024,Fall,Master,美国,4.0,3.87
532,ECE@CMU,Admit,2024,Spring,Master,美国,100,90.3
533,ECE@CMU,Reject,2023,Fall,Master,美国,100,90.9
534,ECE@CMU,Reject,2023,Fall,Master,美国,100,86.74
535,ECE@CMU,Reject,2023,Fall,Master,美国,4.0,3.5
536,ECE@CMU,Reject,2023,Fall,Master,美国,4.3,3.97
537,ECE@CMU,Reject,2023,Fall,Master,美国,100,91.63
538,ECE@CMU,Reject,2023,Fall,Master,美国,4.0,3.92
539,ECE@CMU,Reject,2023,Fall,Master,美国,4.0,3.85
540,ECE@CMU,Reject,2023,Fall,Master,美国,4.0,3.86
541,ECE@CMU,Reject,2023,Fall,Master,美国,4.0,3.83
542,ECE@CMU,Admit,2023,Fall,Master,美国,4.0,3.97
543,ECE@CMU,Admit,2023,Fall,Master,美国,100,94.48
544,ECE@CMU,Admit,2023,Fall,Master,美国,4.0,3.95
545,ECE@CMU,Admit,2023,Fall,Master,美国,4.0,3.98
546,ECE@CMU,Admit,2023,Fall,Master,美国,4.0,3.8
547,ECE@CMU,Admit,2023,Fall,Master,美国,4.0,3.78
548,ECE@CMU,Reject,2023,Fall,Master,美国,4.3,3.75
549,ECE@CMU,Reject,2023,Fall,Master,美国,100,87.0
550,ECE@CMU,Reject,2022,Fall,Master,美国,100,88.42
551,ECE@Duke,Admit,2024,Fall,Master,美国,4.0,3.75
552,ECE@Duke,Reject,2024,Fall,Master,美国,100,89.1
553,ECE@Duke,Admit,2024,Fall,Master,美国,4.0,3.96
554,ECE@Duke,Admit,2024,Fall,Master,美国,4.0,3.82
555,ECE@Duke,Admit,2024,Fall,Master,美国,4.0,3.94
556,ECE@Duke,Admit,2024,Fall,Master,美国,4.0,3.92
557,ECE@Duke,Admit,2024,Fall,Master,美国,4.0,3.81
558,ECE@Duke,Reject,2024,Fall,Master,美国,4.0,3.75
559,ECE@Duke,Reject,2023,Fall,Master,美国,5.0,4.43
560,ECE@Duke,Reject,2023,Fall,Master,美国,100,86.74
561,ECE@Duke,Reject,2023,Fall,Master,美国,4.0,3.92
562,ECE@Duke,Reject,2023,Fall,Master,美国,4.3,3.7
563,ECE@Duke,Reject,2023,Fall,Master,美国,4.0,3.5
564,ECE@Duke,Reject,2023,Fall,Master,美国,4.0,3.76
565,ECE@Duke,Reject,2023,Fall,Master,美国,4.0,3.87
566,ECE@Duke,Reject,2023,Fall,Master,美国,100,87.5
567,ECE@Duke,Reject,2023,Fall,Master,美国,100,86.99
568,ECE@Duke,Reject,2023,Fall,Master,美国,4.0,3.3
569,ECE@Duke,Reject,2023,Fall,Master,美国,4.0,3.7
570,ECE@Duke,Reject,2023,Fall,Master,美国,5.0,4.41
571,ECE@Duke,Admit,2023,Fall,Master,美国,4.0,3.92
572,ECE@Duke,Admit,2023,Fall,Master,美国,100,90.9
573,ECE@Duke,Admit,2023,Fall,Master,美国,4.0,3.94
574,ECE@Duke,Admit,2023,Fall,Master,美国,4.3,3.96
575,ECE@Duke,Admit,2023,Fall,Master,美国,4.3,3.97
576,ECE@Duke,Admit,2023,Fall,Master,美国,5.0,4.55
577,ECE@Duke,Admit,2023,Fall,Master,美国,4.0,3.98
578,ECE@Duke,Admit,2023,Fall,Master,美国,100,88.0
579,ECE@Duke,Reject,2023,Fall,Master,美国,4.3,3.75
580,ECE@Duke,Reject,2022,Fall,Master,美国,100,90.11
581,ECE@Duke-Kunshan,Admit,2024,Fall,Master,中国,100,93.5
582,ECE@Duke-Kunshan,Admit,2024,Fall,Master,中国,其他,3.78
583,ECE@Duke-Kunshan,Admit,2024,Fall,Master,中国,4.0,3.7
584,ECE@Duke-Kunshan,Admit,2023,Fall,Master,中国,5.0,4.43
585,ECE@Duke-Kunshan,Admit,2023,Fall,Master,中国,4.0,3.83
586,ECE@Duke-Kunshan,Admit,2023,Fall,Master,中国,100,89.7
587,ECE@Duke-Kunshan,Admit,2023,Fall,Master,中国,100,88.0
588,ECE@GaTech,Reject,2024,Fall,Master,美国,100,89.1
589,ECE@GaTech,Admit,2024,Fall,Master,美国,4.0,3.96
590,ECE@GaTech,Reject,2023,Fall,Master,美国,4.3,3.97
591,ECE@GaTech,Admit,2023,Fall,Master,美国,5.0,4.75
592,ECE@GaTech-Shenzhen,Admit,2023,Fall,Master,中国,100,89.7
593,ECE@Purdue,Admit,2023,Fall,Master,美国,4.0,3.85
594,ECE@UCLA,Admit,2024,Fall,Master,美国,4.0,3.96
595,ECE@UT Austin,Reject,2024,Fall,Master,美国,4.0,3.75
596,ECE@UT Austin,Reject,2024,Fall,Master,美国,4.0,3.82
597,ECE@UT Austin,Reject,2024,Fall,Master,美国,100,89.1
598,ECE@UT Austin,Reject,2024,Fall,Master,美国,4.0,3.81
599,ECE@UT Austin,Reject,2024,Fall,Master,美国,100,90.5
600,ECE@UT Austin,Reject,2024,Fall,Master,美国,100,91.11
601,ECE@UT Austin,Admit,2024,Fall,Master,美国,100,94.25
602,ECE@UT Austin,Admit,2024,Fall,Master,美国,4.0,3.92
603,ECE@UT Austin,Reject,2023,Fall,Master,美国,100,86.5
604,ECE@UT Austin,Reject,2023,Fall,Master,美国,5.0,4.43
605,ECE@UT Austin,Reject,2023,Fall,Master,美国,4.3,4.1
606,ECE@UT Austin,Reject,2023,Fall,Master,美国,4.3,3.97
607,ECE@UT Austin,Reject,2023,Fall,Master,美国,5.0,4.41
608,ECE@UT Austin,Admit,2023,Fall,Master,美国,4.0,3.9
609,ECE@UT Austin,Reject,2023,Fall,Master,美国,100,92.3
610,ECE@UT Austin,Admit,2023,Fall,Master,美国,100,90.3
611,ECE@UT Austin,Admit,2023,Fall,Master,美国,4.0,3.95
612,ECE@UT Austin,Admit,2023,Fall,Master,美国,4.0,3.84
613,ECE@UT Austin,Admit,2022,Fall,Master,美国,100,90.11
614,ECE@UT Austin,Admit,2022,Fall,Master,美国,100,88.42
615,EDIC PhD@EPFL,Reject,2023,Fall,PhD,瑞士,4.0,3.88
616,EDIC PhD@EPFL,Reject,2023,Fall,PhD,瑞士,4.0,3.86
617,EE PMP@UW,Reject,2024,Fall,Master,美国,4.3,3.7
618,EE PMP@UW,Admit,2024,Fall,Master,美国,4.0,3.5
619,EE PMP@UW,Admit,2024,Fall,Master,美国,5.0,4.33
620,EE PMP@UW,Admit,2024,Fall,Master,美国,4.0,3.75
621,EE PMP@UW,Admit,2024,Fall,Master,美国,100,89.1
622,EE PMP@UW,Admit,2024,Fall,Master,美国,100,90.5
623,EE PMP@UW,Admit,2023,Fall,Master,美国,4.3,3.41
624,EE PMP@UW,Admit,2023,Fall,Master,美国,4.0,3.37
625,EE PMP@UW,Admit,2023,Fall,Master,美国,100,86.74
626,EE PMP@UW,Admit,2023,Fall,Master,美国,4.0,3.92
627,EE PMP@UW,Admit,2023,Fall,Master,美国,4.0,3.85
628,EE PMP@UW,Admit,2023,Fall,Master,美国,100,88.0
629,EE PMP@UW,Admit,2023,Fall,Master,美国,100,86.5
630,EE@Caltech,Reject,2024,Fall,Master,美国,4.0,3.96
631,EE@Caltech,Reject,2023,Fall,Master,美国,4.3,3.97
632,EE@Columbia,Admit,2024,Fall,Master,美国,4.0,3.7
633,EE@Columbia,Admit,2024,Fall,Master,美国,4.0,3.7
634,EE@Columbia,Admit,2023,Fall,Master,美国,4.0,3.85
635,EE@Stanford,Reject,2024,Fall,Master,美国,100,90.28
636,EE@Stanford,Reject,2024,Fall,Master,美国,4.0,3.96
637,EE@Stanford,Reject,2024,Fall,Master,美国,4.0,3.98
638,EE@Stanford,Reject,2024,Fall,Master,美国,100,92.0
639,EE@Stanford,Reject,2024,Fall,Master,美国,100,91.82
640,EE@Stanford,Reject,2024,Fall,Master,美国,100,94.25
641,EE@Stanford,Reject,2024,Fall,Master,美国,4.0,3.77
642,EE@Stanford,Reject,2024,Fall,Master,美国,4.0,3.75
643,EE@Stanford,Reject,2024,Fall,Master,美国,100,90.5
644,EE@Stanford,Reject,2024,Fall,Master,美国,100,91.11
645,EE@Stanford,Reject,2023,Fall,Master,美国,4.3,3.96
646,EE@Stanford,Reject,2023,Fall,Master,美国,4.0,3.8
647,EE@Stanford,Reject,2023,Fall,Master,美国,4.0,3.98
648,EE@Stanford,Reject,2023,Fall,Master,美国,4.3,3.97
649,EE@Stanford,Admit,2023,Fall,Master,美国,4.3,3.94
650,EE@Stanford,Admit,2023,Fall,Master,美国,4.0,3.97
651,EE@Stanford,Admit,2023,Fall,Master,美国,100,92.3
652,EE@Stanford,Admit,2023,Fall,Master,美国,4.0,3.95
654,EE@Upenn,Admit,2023,Fall,Master,美国,100,86.5
655,EECS Meng@Berkeley,Reject,2024,Fall,Master,美国,4.0,3.94
656,EECS Meng@Berkeley,Reject,2024,Fall,Master,美国,4.3,3.7
657,EECS Meng@Berkeley,Reject,2024,Fall,Master,美国,4.0,3.97
658,EECS Meng@Berkeley,Reject,2024,Fall,Master,美国,100,91.11
659,EECS Meng@Berkeley,Admit,2024,Fall,Master,美国,100,94.25
660,EECS Meng@Berkeley,Admit,2024,Fall,Master,美国,100,92.0
661,EECS Meng@Berkeley,Admit,2024,Fall,Master,美国,100,91.82
662,EECS Meng@Berkeley,Reject,2023,Fall,Master,美国,4.3,3.97
663,EECS Meng@Berkeley,默拒,2023,Fall,Master,美国,4.0,3.94
664,EECS Meng@Berkeley,Reject,2023,Fall,Master,美国,100,94.48
665,EECS Meng@Berkeley,Reject,2023,Fall,Master,美国,4.0,3.92
666,EECS Meng@Berkeley,Reject,2023,Fall,Master,美国,4.3,4.09
667,EECS Meng@Berkeley,Reject,2023,Fall,Master,美国,100,86.74
668,EECS Meng@Berkeley,Reject,2023,Fall,Master,美国,4.3,3.55
669,EECS Meng@Berkeley,Reject,2023,Fall,Master,美国,100,92.3
670,EECS Meng@Berkeley,Waitlist,2023,Fall,Master,美国,4.0,3.95
671,EECS Meng@Berkeley,默拒,2023,Fall,Master,美国,其他,27.89
672,EECS Meng@Berkeley,Admit,2023,Fall,Master,美国,4.3,3.94
673,EECS Meng@Berkeley,Admit,2023,Fall,Master,美国,4.0,3.96
674,EECS Meng@Berkeley,Admit,2023,Fall,Master,美国,4.0,3.95
675,EECS Meng@Berkeley,Admit,2023,Fall,Master,美国,4.0,3.94
676,EECS Meng@Berkeley,Admit,2023,Fall,Master,美国,4.0,3.97
677,EECS Meng@Berkeley,Admit,2023,Fall,Master,美国,4.3,3.96
678,EECS Meng@Berkeley,Reject,2022,Fall,Master,美国,100,90.11
679,EECS Meng@Berkeley,Reject,2022,Fall,Master,美国,100,88.42
680,EECS Meng@Berkeley,Reject,2022,Fall,Master,美国,100,89.28
681,EECS PhD@MIT,Reject,2024,Fall,PhD,美国,4.0,3.97
682,ESE PhD@Upenn,Admit,2023,Fall,PhD,美国,4.0,3.96
683,ICME@Stanford,Reject,2023,Fall,Master,美国,4.0,3.97
684,IEOR MEng@Berkeley,Admit,2023,Fall,Master,美国,4.0,3.92
685,IS@NEU,Admit,2023,Fall,Master,美国,4.3,3.55
686,IS@NEU,Admit,2023,Fall,Master,美国,100,86.99
687,IS@NEU,Admit,2023,Fall,Master,美国,100,86.5
688,IS@NEU,Admit,2023,Fall,Master,美国,4.0,3.74
689,IS@NEU,Admit,2023,Fall,Master,美国,4.0,3.3
690,Math PhD@UCLA,Reject,2023,Fall,PhD,美国,4.0,3.86
691,MCDS@CMU,Reject,2024,Fall,Master,美国,4.0,3.75
692,MCDS@CMU,Admit,2024,Fall,Master,美国,4.0,3.98
693,MCDS@CMU,Reject,2024,Fall,Master,美国,4.0,3.83
694,MCDS@CMU,Reject,2024,Fall,Master,美国,100,91.82
695,MCDS@CMU,Admit,2024,Fall,Master,美国,4.0,3.87
696,MCDS@CMU,Admit,2024,Fall,Master,美国,4.0,3.93
697,MCDS@CMU,Reject,2024,Fall,Master,美国,4.0,3.69
698,MCDS@CMU,Reject,2024,Fall,Master,美国,100,90.5
699,MCDS@CMU,Admit,2024,Fall,Master,美国,100,91.11
700,MCDS@CMU,Reject,2023,Fall,Master,美国,4.0,3.92
701,MCDS@CMU,Admit,2023,Fall,Master,美国,4.3,3.94
702,MCDS@CMU,Reject,2023,Fall,Master,美国,4.3,4.09
703,MCDS@CMU,Reject,2023,Fall,Master,美国,100,90.3
704,MCDS@CMU,Reject,2023,Fall,Master,美国,4.0,3.95
705,MCDS@CMU,Reject,2023,Fall,Master,美国,100,89.61
706,MCDS@CMU,Reject,2023,Fall,Master,美国,100,90.52
707,MCDS@CMU,Reject,2023,Fall,Master,美国,4.0,3.91
708,MCDS@CMU,Reject,2023,Fall,Master,美国,100,91.18
709,MCDS@CMU,Reject,2023,Fall,Master,美国,4.0,3.96
710,MCDS@CMU,Admit,2023,Fall,Master,美国,100,91.61
711,MCDS@CMU,Reject,2023,Fall,Master,美国,100,91.63
712,MCDS@CMU,Reject,2023,Fall,Master,美国,4.3,4.1
713,MCDS@CMU,Admit,2023,Fall,Master,美国,100,92.3
714,MCDS@CMU,Reject,2023,Fall,Master,美国,4.0,3.97
715,MCDS@CMU,Admit,2023,Fall,Master,美国,100,94.48
716,MCDS@CMU,Admit,2023,Fall,Master,美国,4.0,3.88
717,MCDS@CMU,Reject,2023,Fall,Master,美国,4.0,3.95
718,MCIS@UPenn,Waitlist,2024,Fall,Master,美国,4.0,3.89
719,MCIS@UPenn,Reject,2024,Fall,Master,美国,4.0,3.97
720,MCIS@UPenn,Admit,2024,Fall,Master,美国,4.0,3.97
721,MCIS@UPenn,Reject,2024,Fall,Master,美国,100,91.08
722,MCIS@UPenn,Reject,2024,Fall,Master,美国,4.0,3.93
723,MCIS@UPenn,Reject,2024,Fall,Master,美国,4.3,4.05
724,MCIS@UPenn,Reject,2024,Fall,Master,美国,4.3,3.7
725,MCIS@UPenn,Reject,2023,Fall,Master,美国,5.0,4.55
726,MCIS@UPenn,Admit,2023,Fall,Master,美国,4.0,3.86
727,MCIS@UPenn,Reject,2023,Fall,Master,美国,100,94.48
728,MCIS@UPenn,Reject,2023,Fall,Master,美国,4.0,3.9
729,MCIS@UPenn,Reject,2023,Fall,Master,美国,4.0,3.97
730,MCIS@UPenn,Reject,2023,Fall,Master,美国,100,89.7
731,MCIS@UPenn,Reject,2023,Fall,Master,美国,100,91.18
732,MCIS@UPenn,Reject,2023,Fall,Master,美国,5.0,4.57
733,MCIS@UPenn,Reject,2023,Fall,Master,美国,4.0,3.94
734,MCIS@UPenn,Reject,2023,Fall,Master,美国,4.0,3.8
735,MCIS@UPenn,Admit,2023,Fall,Master,美国,4.0,3.88
736,MCIS@UPenn,Reject,2022,Fall,Master,美国,100,88.42
737,MCIT@UPenn,Reject,2023,Fall,Master,美国,4.0,3.92
738,MComp@NUS,Admit,2023,Fall,Master,新加坡,4.0,3.37
739,MCS (MComp CS Specialisation)@NUS,Admit,2024,Fall,Master,新加坡,100,85.14
740,MCS (MComp CS Specialisation)@NUS,Admit,2024,Fall,Master,新加坡,4.3,3.7
741,MCS (MComp CS Specialisation)@NUS,Admit,2023,Fall,Master,新加坡,5.0,4.41
742,MCS (MComp CS Specialisation)@NUS,Admit,2022,Fall,Master,新加坡,100,90.11
743,MCS in Chicago@UIUC,Reject,2024,Fall,Master,美国,4.0,3.83
744,MCS@NCSU,Admit,2024,Fall,Master,美国,5.0,4.33
745,MCS@NCSU,Admit,2024,Fall,Master,美国,4.0,3.5
746,MCS@NCSU,Admit,2023,Fall,Master,美国,4.0,3.7
747,MCS@NCSU,Reject,2023,Fall,Master,美国,4.3,3.55
748,MCS@NCSU,Reject,2023,Fall,Master,美国,5.0,4.55
749,MCS@NCSU,Admit,2023,Fall,Master,美国,100,86.5
750,MCS@NCSU,Admit,2023,Fall,Master,美国,100,86.99
751,MCS@NCSU,Admit,2023,Fall,Master,美国,100,86.5
752,MCS@NCSU,Admit,2023,Fall,Master,美国,4.0,3.65
753,MCS@NCSU,Admit,2023,Fall,Master,美国,4.0,3.3
754,MCS@NCSU,Admit,2023,Fall,Master,美国,4.0,3.1
755,MCS@NCSU,Admit,2023,Fall,Master,美国,4.3,3.83
756,MCS@NCSU,Admit,2023,Fall,Master,美国,4.3,3.41
757,MCS@Rice,Admit,2024,Fall,Master,美国,4.0,3.96
758,MCS@Rice,Reject,2024,Fall,Master,美国,4.3,3.7
759,MCS@Rice,Reject,2024,Fall,Master,美国,4.0,3.46
760,MCS@Rice,Admit,2024,Fall,Master,美国,100,93.5
761,MCS@Rice,Reject,2024,Fall,Master,美国,4.0,3.85
762,MCS@Rice,Reject,2024,Fall,Master,美国,5.0,4.33
763,MCS@Rice,Reject,2024,Fall,Master,美国,4.0,3.81
764,MCS@Rice,Reject,2024,Fall,Master,美国,100,85.14
765,MCS@Rice,Admit,2024,Fall,Master,美国,4.0,3.83
766,MCS@Rice,Admit,2024,Fall,Master,美国,4.0,3.87
767,MCS@Rice,Admit,2024,Fall,Master,美国,100,89.1
